Attrition,Department,JobRole,OverTime,MonthlyIncome,YearsAtCompany,JobSatisfaction,JobLevel,BusinessTravel,Gender,RevenueLoss
Yes,Research & Development,Laboratory Technician,No,1102,1,4,1,Travel_Rarely,Male,92675.95102040816
No,Sales,Sales Executive,No,10453,24,1,3,Travel_Rarely,Female,879075.9673469388
No,Research & Development,Laboratory Technician,No,2288,2,4,1,Travel_Rarely,Female,192416.1306122449
No,Research & Development,Research Scientist,Yes,3929,4,4,1,Travel_Rarely,Female,330420.88163265307
No,Research & Development,Research Scientist,No,2311,3,2,1,Travel_Rarely,Female,194350.3836734694
Yes,Sales,Sales Representative,Yes,3140,4,2,1,Travel_Rarely,Female,264067.5918367347
No,Research & Development,Laboratory Technician,No,3690,3,3,1,Travel_Rarely,Male,310321.4693877551
No,Research & Development,Manufacturing Director,No,4450,4,1,2,Travel_Rarely,Female,374235.9183673469
No,Research & Development,Research Scientist,No,2756,8,2,1,Travel_Rarely,Female,231773.9755102041
No,Research & Development,Manager,No,19033,20,3,5,Travel_Rarely,Female,1600636.4571428571
No,Research & Development,Research Director,No,18722,24,2,5,Travel_Rarely,Male,1574481.9918367348
No,Research & Development,Manufacturing Director,No,9547,10,3,2,Travel_Frequently,Male,802883.2163265307
No,Research & Development,Healthcare Representative,No,13734,7,2,4,Travel_Rarely,Female,1155001.3714285714
No,Research & Development,Manager,No,19999,33,3,5,Travel_Rarely,Male,1681875.0857142857
No,Research & Development,Research Scientist,No,2279,7,2,1,Travel_Rarely,Female,191659.24897959185
Yes,Research & Development,Manufacturing Director,Yes,5916,1,3,2,Travel_Rarely,Male,497523.52653061226
No,Research & Development,Research Scientist,No,2089,5,4,1,Non-Travel,Male,175680.6367346939
No,Research & Development,Manager,No,16792,20,4,4,Non-Travel,Male,1412172.9306122449
No,Research & Development,Research Scientist,Yes,3564,8,1,1,Travel_Rarely,Male,299725.12653061224
No,Research & Development,Laboratory Technician,No,4425,6,2,2,Travel_Frequently,Female,372133.4693877551
No,Research & Development,Manufacturing Director,No,5265,5,3,2,Non-Travel,Female,442775.7551020408
No,Research & Development,Manufacturing Director,No,6553,1,3,2,Travel_Rarely,Male,551093.9265306123
No,Research & Development,Manufacturing Director,No,6261,7,4,2,Travel_Rarely,Male,526537.3224489796
No,Research & Development,Manufacturing Director,No,4298,2,1,2,Travel_Frequently,Male,361453.02857142856
No,Research & Development,Manufacturing Director,Yes,6804,7,4,2,Non-Travel,Male,572202.5142857142
No,Research & Development,Research Scientist,Yes,3815,5,3,1,Travel_Frequently,Male,320833.7142857143
No,Research & Development,Laboratory Technician,Yes,2741,7,4,2,Travel_Rarely,Male,230512.50612244898
Yes,Research & Development,Healthcare Representative,Yes,6673,1,1,2,Travel_Rarely,Male,561185.6816326531
Yes,Sales,Sales Executive,No,7639,10,4,3,Travel_Rarely,Female,642424.3102040816
No,Research & Development,Research Scientist,Yes,2328,4,2,1,Travel_Rarely,Male,195780.04897959184
No,Research & Development,Laboratory Technician,No,2153,8,4,1,Travel_Frequently,Female,181062.90612244897
No,Research & Development,Healthcare Representative,No,4876,3,4,2,Non-Travel,Male,410061.64897959185
No,Research & Development,Healthcare Representative,No,9396,4,1,3,Travel_Rarely,Male,790184.4244897959
Yes,Sales,Sales Executive,No,10400,14,4,3,Travel_Rarely,Male,874618.7755102041
No,Research & Development,Manufacturing Director,No,8474,11,3,3,Non-Travel,Male,712646.106122449
No,Sales,Sales Executive,No,9981,7,3,2,Travel_Frequently,Female,839381.7306122449
No,Research & Development,Research Director,No,12490,10,2,3,Travel_Rarely,Male,1050383.5102040817
Yes,Research & Development,Research Scientist,Yes,2657,5,1,1,Travel_Rarely,Female,223448.2775510204
No,Sales,Manager,Yes,13591,1,4,3,Travel_Rarely,Female,1142975.3632653062
Yes,Sales,Sales Executive,No,6696,6,1,2,Travel_Frequently,Female,563119.9346938776
Yes,Research & Development,Research Scientist,No,2058,6,3,1,Travel_Rarely,Male,173073.6
No,Sales,Sales Executive,No,8865,19,4,3,Non-Travel,Female,745528.4081632653
No,Sales,Sales Executive,No,5940,6,1,2,Travel_Rarely,Female,499541.8775510204
No,Research & Development,Laboratory Technician,No,5914,13,2,2,Travel_Rarely,Male,497355.3306122449
No,Research & Development,Research Scientist,No,2622,3,2,1,Travel_Rarely,Female,220504.84897959183
No,Research & Development,Research Director,Yes,12185,10,4,3,Travel_Frequently,Male,1024733.6326530612
No,Sales,Sales Executive,No,10609,16,3,3,Travel_Rarely,Male,892195.2489795919
No,Research & Development,Manufacturing Director,No,4345,5,3,2,Non-Travel,Male,365405.63265306124
No,Research & Development,Research Scientist,No,2177,1,4,1,Travel_Rarely,Male,183081.25714285715
No,Sales,Sales Representative,No,2793,9,4,1,Travel_Frequently,Male,234885.6
No,Sales,Sales Executive,No,7918,11,4,3,Travel_Frequently,Female,665887.6408163265
No,Sales,Sales Executive,No,8789,10,3,3,Travel_Frequently,Female,739136.9632653061
Yes,Research & Development,Research Scientist,Yes,2389,4,4,1,Travel_Rarely,Male,200910.02448979593
No,Research & Development,Laboratory Technician,No,3212,2,4,1,Travel_Rarely,Female,270122.6448979592
No,Research & Development,Manager,No,19232,22,4,5,Travel_Rarely,Male,1617371.9510204082
No,Human Resources,Human Resources,No,2267,2,3,1,Travel_Rarely,Male,190650.07346938775
No,Sales,Manager,No,19517,7,4,5,Travel_Rarely,Female,1641339.8693877552
Yes,Research & Development,Laboratory Technician,Yes,2436,5,4,1,Travel_Rarely,Male,204862.62857142856
No,Sales,Manager,Yes,16064,17,4,4,Travel_Rarely,Female,1350949.6163265307
Yes,Research & Development,Laboratory Technician,No,2707,9,1,1,Travel_Rarely,Female,227653.17551020408
No,Sales,Manager,Yes,19068,33,3,5,Non-Travel,Male,1603579.8857142858
No,Sales,Sales Representative,No,3931,4,2,1,Travel_Rarely,Female,330589.0775510204
Yes,Research & Development,Laboratory Technician,Yes,3730,3,3,1,Travel_Rarely,Male,313685.38775510207
No,Research & Development,Laboratory Technician,No,2232,3,3,1,Travel_Rarely,Female,187706.6448979592
No,Sales,Sales Executive,No,4465,3,4,2,Non-Travel,Male,375497.38775510207
No,Research & Development,Research Scientist,No,3072,1,1,2,Travel_Rarely,Male,258348.9306122449
No,Research & Development,Research Scientist,No,3319,9,4,2,Travel_Rarely,Male,279121.12653061224
No,Research & Development,Manager,No,19202,24,4,5,Travel_Rarely,Male,1614849.012244898
No,Research & Development,Research Director,No,13675,2,3,3,Travel_Frequently,Male,1150039.5918367347
No,Research & Development,Research Scientist,No,2911,2,4,1,Travel_Rarely,Female,244809.15918367347
No,Research & Development,Manufacturing Director,No,5957,11,1,2,Travel_Rarely,Male,500971.54285714286
No,Research & Development,Research Scientist,No,3920,3,1,1,Travel_Rarely,Female,329664.0
No,Research & Development,Manufacturing Director,No,6434,3,3,2,Travel_Frequently,Male,541086.2693877551
Yes,Research & Development,Manufacturing Director,No,10048,1,3,3,Travel_Frequently,Male,845016.293877551
No,Research & Development,Healthcare Representative,No,10938,19,3,3,Travel_Frequently,Female,919863.4775510204
No,Research & Development,Research Scientist,No,2340,6,4,1,Travel_Rarely,Male,196789.22448979592
No,Research & Development,Research Scientist,Yes,6545,3,1,2,Travel_Rarely,Female,550421.1428571428
No,Sales,Sales Executive,No,6931,3,4,2,Travel_Rarely,Male,582882.9551020408
No,Research & Development,Manufacturing Director,No,4898,4,3,2,Travel_Rarely,Female,411911.80408163264
No,Research & Development,Laboratory Technician,Yes,2593,9,1,1,Travel_Rarely,Female,218066.0081632653
No,Research & Development,Research Director,No,19436,21,3,5,Travel_Rarely,Male,1634527.9346938776
No,Research & Development,Research Scientist,No,2723,1,4,1,Travel_Rarely,Male,228998.74285714285
Yes,Research & Development,Laboratory Technician,No,3479,5,2,1,Travel_Frequently,Male,292576.8
No,Research & Development,Laboratory Technician,No,2794,5,2,1,Travel_Frequently,Male,234969.6979591837
No,Sales,Sales Executive,No,5249,8,4,2,Non-Travel,Male,441430.18775510206
No,Research & Development,Laboratory Technician,No,2176,6,1,2,Travel_Rarely,Male,182997.15918367347
No,Sales,Manager,Yes,16872,7,2,4,Travel_Rarely,Female,1418900.7673469388
Yes,Research & Development,Laboratory Technician,No,3485,0,3,1,Travel_Rarely,Male,293081.38775510207
No,Sales,Sales Executive,No,6644,0,2,2,Travel_Rarely,Male,558746.8408163266
No,Research & Development,Healthcare Representative,No,5582,9,4,2,Travel_Rarely,Male,469434.8081632653
No,Research & Development,Healthcare Representative,No,4000,6,1,2,Non-Travel,Male,336391.8367346939
No,Research & Development,Healthcare Representative,Yes,13496,20,4,4,Travel_Rarely,Male,1134986.0571428572
No,Research & Development,Laboratory Technician,No,3210,15,4,1,Travel_Rarely,Male,269954.44897959183
No,Research & Development,Manager,Yes,19045,36,1,5,Travel_Rarely,Male,1601645.6326530613
Yes,Research & Development,Manager,Yes,11849,10,2,3,Non-Travel,Male,996476.7183673469
No,Research & Development,Research Scientist,No,2070,5,4,1,Travel_Rarely,Male,174082.77551020408
No,Sales,Sales Executive,No,6502,5,4,2,Travel_Rarely,Male,546804.9306122449
No,Research & Development,Research Scientist,No,3230,3,3,1,Travel_Rarely,Male,271636.4081632653
No,Research & Development,Research Director,Yes,13603,5,4,3,Non-Travel,Female,1143984.5387755102
No,Research & Development,Manager,No,11996,7,2,3,Travel_Rarely,Female,1008839.1183673469
No,Sales,Sales Executive,Yes,5605,8,1,2,Travel_Rarely,Female,471369.0612244898
No,Research & Development,Manufacturing Director,No,6397,6,2,2,Travel_Frequently,Female,537974.6448979592
No,Research & Development,Research Director,No,19144,10,2,5,Travel_Rarely,Male,1609971.330612245
No,Research & Development,Research Director,Yes,17584,5,3,4,Travel_Rarely,Male,1478778.5142857144
No,Sales,Sales Executive,No,4907,20,3,2,Travel_Rarely,Male,412668.6857142857
No,Sales,Sales Executive,No,4554,10,4,2,Travel_Frequently,Male,382982.106122449
No,Research & Development,Laboratory Technician,Yes,5415,10,4,2,Travel_Rarely,Male,455390.44897959183
No,Research & Development,Healthcare Representative,Yes,4741,5,1,2,Travel_Frequently,Male,398708.4244897959
No,Research & Development,Research Scientist,No,2115,17,4,1,Travel_Rarely,Female,177867.18367346938
Yes,Research & Development,Laboratory Technician,Yes,3161,1,3,1,Travel_Frequently,Male,265833.64897959185
No,Research & Development,Healthcare Representative,No,5745,2,4,2,Travel_Rarely,Male,483142.7755102041
Yes,Research & Development,Laboratory Technician,Yes,2373,3,2,1,Travel_Rarely,Male,199564.45714285714
No,Research & Development,Research Scientist,No,3310,5,4,1,Travel_Rarely,Female,278364.2448979592
No,Research & Development,Research Director,Yes,18665,3,1,5,Travel_Frequently,Female,1569688.4081632653
No,Research & Development,Research Scientist,No,4485,8,2,2,Travel_Rarely,Male,377179.3469387755
No,Sales,Sales Representative,No,2789,2,2,1,Travel_Frequently,Female,234549.2081632653
Yes,Sales,Sales Executive,Yes,5828,8,4,2,Travel_Rarely,Male,490122.90612244897
No,Research & Development,Research Scientist,Yes,2326,4,4,1,Travel_Frequently,Male,195611.85306122448
No,Sales,Sales Executive,No,13525,20,2,4,Travel_Frequently,Female,1137424.8979591837
Yes,Research & Development,Laboratory Technician,No,1420,0,3,1,Travel_Rarely,Male,119419.10204081633
